 temperature	i	 j	spin A(i,j)
   2.82000017              16          17          -1
   2.82000017              16          18          -1
   2.82000017              16          19          -1
   2.82000017              16          20          -1
   2.82000017              16          21          -1
   2.82000017              17           2           1
   2.82000017              17           3           1
   2.82000017              17           4          -1
   2.82000017              17           5          -1
   2.82000017              17           6          -1
   2.82000017              17           7          -1
   2.82000017              17           8          -1
   2.82000017              17           9          -1
   2.82000017              17          10          -1
   2.82000017              17          11          -1
   2.82000017              17          12          -1
   2.82000017              17          13          -1
   2.82000017              17          14          -1
   2.82000017              17          15          -1
   2.82000017              17          16          -1
   2.82000017              17          17          -1
   2.82000017              17          18          -1
   2.82000017              17          19          -1
   2.82000017              17          20          -1
   2.82000017              17          21           1
   2.82000017              18           2          -1
   2.82000017              18           3          -1
   2.82000017              18           4          -1
   2.82000017              18           5          -1
   2.82000017              18           6          -1
   2.82000017              18           7          -1
   2.82000017              18           8          -1
   2.82000017              18           9          -1
   2.82000017              18          10          -1
   2.82000017              18          11          -1
   2.82000017              18          12          -1
   2.82000017              18          13          -1
   2.82000017              18          14          -1
   2.82000017              18          15          -1
   2.82000017              18          16          -1
   2.82000017              18          17          -1
   2.82000017              18          18          -1
   2.82000017              18          19          -1
   2.82000017              18          20          -1
   2.82000017              18          21          -1
   2.82000017              19           2          -1
   2.82000017              19           3          -1
   2.82000017              19           4          -1
   2.82000017              19           5          -1
   2.82000017              19           6          -1
   2.82000017              19           7          -1
   2.82000017              19           8          -1
   2.82000017              19           9          -1
   2.82000017              19          10          -1
   2.82000017              19          11          -1
   2.82000017              19          12          -1
   2.82000017              19          13          -1
   2.82000017              19          14          -1
   2.82000017              19          15          -1
   2.82000017              19          16          -1
   2.82000017              19          17          -1
   2.82000017              19          18          -1
   2.82000017              19          19          -1
   2.82000017              19          20          -1
   2.82000017              19          21          -1
   2.82000017              20           2          -1
   2.82000017              20           3          -1
   2.82000017              20           4          -1
   2.82000017              20           5          -1
   2.82000017              20           6          -1
   2.82000017              20           7          -1
   2.82000017              20           8          -1
   2.82000017              20           9          -1
   2.82000017              20          10          -1
   2.82000017              20          11          -1
   2.82000017              20          12          -1
   2.82000017              20          13          -1
   2.82000017              20          14           1
   2.82000017              20          15           1
   2.82000017              20          16           1
   2.82000017              20          17           1
   2.82000017              20          18          -1
   2.82000017              20          19          -1
   2.82000017              20          20          -1
   2.82000017              20          21          -1
   2.82000017              21           2          -1
